Primary Partition,Secondary Partition,Timestamp,VIN or ID,Latitude,Longitude,Altitude,Custom 1,Custom 2
USA,Florida,2025-01-08T16:47:32.525Z,a5d421,29.05351,-81.26175,600,,
USA,Florida,2025-01-08T16:47:33.165Z,a945b9,28.94549,-81.65705,1000,,
USA,Florida,2025-01-08T16:47:33.105Z,a23428,29.02726,-80.9438,500,,
USA,Florida,2025-01-08T16:47:33.165Z,ab30dd,29.09331,-81.35779,8600,SD3,JUMP
USA,Florida,2025-01-08T16:47:32.635Z,a7333f,29.034,-80.95456,400,,
USA,Florida,2025-01-08T16:47:32.235Z,ac4d36,29.28381,-81.31834,3000,,
USA,Florida,2025-01-08T16:47:32.735Z,ac2d25,29.24141,-81.27773,3100,,
USA,Florida,2025-01-08T16:47:33.215Z,ae52bb,29.91975,-81.28624,600,,
USA,Florida,2025-01-08T16:47:33.325Z,a016e9,29.45166,-81.14181,6100,N1047M,P28A
USA,Florida,2025-01-08T16:47:33.361Z,a31f95,28.57028,-81.14994,22500,,
USA,Florida,2025-01-08T16:47:33.431Z,a71e53,29.47369,-81.22081,800,,
USA,Florida,2025-01-08T16:47:32.821Z,abc3eb,29.27819,-81.10164,5500,SFY436,P28A
USA,Florida,2025-01-08T16:47:33.181Z,a0d655,27.64103,-81.64083,17000,,
USA,Florida,2025-01-08T16:47:32.821Z,000000,27.97547,-82.796,12000,,
USA,Florida,2025-01-08T16:47:32.971Z,ad8f3e,29.43194,-81.33864,2900,,
USA,Florida,2025-01-08T16:47:28.012Z,000000,29.07183,-81.02767,0,,
USA,Florida,2025-01-08T16:47:32.982Z,000000,30.21292,-81.529,13000,,
USA,Florida,2025-01-08T16:47:32.951Z,000000,28.22978,-82.56375,10100,,
USA,Florida,2025-01-08T16:47:32.991Z,000000,26.26536,-80.03336,10100,,
USA,Florida,2025-01-08T16:47:33.411Z,aab5b1,28.63381,-82.43075,1200,,
USA,Florida,2025-01-08T16:47:33.431Z,a2ebd7,28.14372,-81.72419,800,,
USA,Florida,2025-01-08T16:47:33.441Z,a373b7,28.35617,-80.84933,13600,AAL2949,B38M
USA,Florida,2025-01-08T16:47:33.481Z,a52a26,28.19906,-80.64708,3500,,
USA,Florida,2025-01-08T16:47:33.401Z,a0e5da,27.43639,-80.78681,2600,,
USA,Florida,2025-01-08T16:47:33.521Z,a15d6c,29.14397,-82.19608,1400,,
USA,Florida,2025-01-08T16:47:33.501Z,a1c9cd,28.27903,-80.61017,18100,,
USA,Florida,2025-01-08T16:47:33.551Z,a4a977,28.37672,-81.01656,18500,,
USA,Florida,2025-01-08T16:47:32.871Z,000000,28.68014,-80.85239,7500,N8881N,C182
USA,Florida,2025-01-08T16:47:34.022Z,000000,26.48139,-80.43033,5300,,
USA,Florida,2025-01-08T16:47:32.851Z,ab9345,29.63508,-81.23136,11600,JRE845,C56X
USA,Florida,2025-01-08T16:47:32.981Z,a016e9,29.45183,-81.14186,6100,N1047M,P28A
USA,Florida,2025-01-08T16:47:33.021Z,000000,28.43778,-80.89786,3100,N8376A,PA44
USA,Florida,2025-01-08T16:47:33.001Z,ad222c,28.08194,-82.32731,1300,,
USA,Florida,2025-01-08T16:47:33.001Z,ab1547,29.17103,-82.25156,1100,,
USA,Florida,2025-01-08T16:47:33.621Z,a35b1b,27.17331,-80.96039,2200,,
USA,Florida,2025-01-08T16:47:33.661Z,ad790f,27.62361,-80.7865,2700,,
USA,Florida,2025-01-08T16:47:33.701Z,ac7ad1,27.25189,-80.86242,1000,,
USA,Florida,2025-01-08T16:47:33.711Z,a38044,28.38414,-80.59544,500,,
USA,Florida,2025-01-08T16:47:32.565Z,a8fa72,28.78281,-81.29002,1600,,
USA,Florida,2025-01-08T16:47:32.955Z,a0e514,29.76607,-81.59988,4900,N157KC,C172
USA,Florida,2025-01-08T16:47:32.725Z,000000,30.14265,-82.30343,23000,,
USA,Florida,2025-01-08T16:47:32.915Z,000000,30.19924,-81.74495,6700,,
USA,Florida,2025-01-08T16:47:27.926Z,000000,29.07184,-81.02773,0,,
USA,Florida,2025-01-08T16:47:31.566Z,000000,30.74483,-82.74341,5600,,
USA,Florida,2025-01-08T16:47:33.005Z,000000,30.21321,-81.52783,13000,,
USA,Florida,2025-01-08T16:47:33.415Z,ac481d,28.29067,-81.32061,2600,,
USA,Florida,2025-01-08T16:47:33.205Z,a1a019,28.32948,-80.68724,1100,,
USA,Florida,2025-01-08T16:47:33.435Z,a71e53,29.47372,-81.22079,800,,
USA,Florida,2025-01-08T16:47:33.818Z,ab156e,28.97056,-80.92368,100,,
USA,Florida,2025-01-08T16:47:33.405Z,a8949c,28.54665,-80.94516,2800,,
USA,Florida,2025-01-08T16:47:33.485Z,a4b107,30.11144,-81.42354,900,,
USA,Florida,2025-01-08T16:47:32.965Z,000000,28.68007,-80.8524,7500,,
USA,Florida,2025-01-08T16:47:33.155Z,abe124,29.56138,-81.2017,24500,,
USA,Florida,2025-01-08T16:47:33.045Z,a9e22e,29.87586,-81.24104,19000,JRE736,C25B
USA,Florida,2025-01-08T16:47:33.595Z,a50adf,28.39852,-80.97312,1500,,
USA,Florida,2025-01-08T16:47:33.475Z,a9c1ce,29.83443,-81.16236,18000,,
USA,Florida,2025-01-08T16:47:32.491Z,000000,27.69144,-80.02039,0,,
USA,Florida,2025-01-08T16:47:33.101Z,000000,30.69708,-81.38131,21100,,
USA,Florida,2025-01-08T16:47:33.171Z,000000,30.55561,-81.15028,10000,,
USA,Florida,2025-01-08T16:47:32.971Z,000000,26.56064,-80.09886,15900,,
USA,Florida,2025-01-08T16:47:33.541Z,a1d3f5,28.97069,-80.84483,3700,,
USA,Florida,2025-01-08T16:47:31.571Z,000000,28.70544,-81.01878,6500,N322HA,C402
USA,Florida,2025-01-08T16:47:32.961Z,000000,26.93572,-80.22242,19800,,
USA,Florida,2025-01-08T16:47:33.361Z,a21fca,28.67956,-82.00092,15200,,
USA,Florida,2025-01-08T16:47:33.001Z,a6d91c,28.65592,-81.03025,2500,,
USA,Florida,2025-01-08T16:47:32.051Z,000000,26.87292,-78.60067,17000,,
USA,Florida,2025-01-08T16:47:33.451Z,a2e6cf,28.32744,-81.84731,3600,N2861Q,C172
USA,Florida,2025-01-08T16:47:34.205Z,ab156e,28.97053,-80.92367,100,,
USA,Florida,2025-01-08T16:47:34.205Z,a52781,29.18342,-81.05275,0,N431GX,M20P
USA,Florida,2025-01-08T16:47:34.205Z,a747fa,27.26431,-80.84906,100,,
USA,Florida,2025-01-08T16:47:33.001Z,a08604,27.35581,-80.30806,1200,,
USA,Florida,2025-01-08T16:47:32.401Z,a0a303,28.41694,-81.06439,2600,,
USA,Florida,2025-01-08T16:47:33.711Z,a700c3,27.73414,-80.68922,2300,,
USA,Florida,2025-01-08T16:47:33.711Z,acdf34,27.80936,-80.69678,2600,,
USA,Florida,2025-01-08T16:47:33.801Z,a5ae8a,28.67872,-82.40458,4300,,
USA,Florida,2025-01-08T16:47:33.771Z,a73c3b,28.03389,-82.03961,1100,,
USA,Florida,2025-01-08T16:47:33.801Z,a2cd3c,28.78669,-82.4895,2300,,
USA,Florida,2025-01-08T16:47:33.781Z,a863f6,28.964,-81.35264,21000,,
USA,Florida,2025-01-08T16:47:33.781Z,a8fc2e,28.36658,-81.42406,4900,UAL1344,B739
USA,Florida,2025-01-08T16:47:33.191Z,a981bd,27.94244,-80.55756,1400,,
USA,Florida,2025-01-08T16:47:32.601Z,a3a4ae,27.50758,-80.58053,4700,,
USA,Florida,2025-01-08T16:47:33.941Z,aaff68,28.14497,-82.12678,1500,,
USA,Florida,2025-01-08T16:47:33.381Z,a03f1b,28.68336,-80.82372,8500,N115DK,GLST
USA,Florida,2025-01-08T16:47:33.801Z,a9e98f,28.84642,-81.65656,1700,,
USA,Florida,2025-01-08T16:47:33.881Z,aa7816,28.91744,-81.55331,2500,,
USA,Florida,2025-01-08T16:47:33.421Z,0d0e9f,27.97517,-81.12014,7400,LET6227,CL60
USA,Florida,2025-01-08T16:47:33.931Z,a40144,27.70889,-80.65414,3600,,
USA,Florida,2025-01-08T16:47:33.961Z,0ac95a,28.3455,-81.28153,1600,AVA028,A320
USA,Florida,2025-01-08T16:47:34.021Z,a06de6,28.24031,-81.45906,1400,,
USA,Florida,2025-01-08T16:47:34.355Z,a65e3f,29.06389,-81.27358,100,,
USA,Florida,2025-01-08T16:47:34.355Z,000000,26.66719,-80.98019,3000,,
USA,Florida,2025-01-08T16:47:34.001Z,a58a17,28.84331,-81.95336,0,,
USA,Florida,2025-01-08T16:47:33.105Z,a373b7,28.35655,-80.84983,13600,,
USA,Florida,2025-01-08T16:47:33.195Z,ab110a,28.44924,-80.84539,1700,,
USA,Florida,2025-01-08T16:47:33.125Z,000000,28.43774,-80.89793,3100,,
USA,Florida,2025-01-08T16:47:33.115Z,000000,30.69794,-81.37726,21100,,
USA,Florida,2025-01-08T16:47:33.185Z,000000,30.55571,-81.14933,10000,,
USA,Florida,2025-01-08T16:47:31.595Z,000000,28.70564,-81.01883,6500,N322HA,C402
USA,Florida,2025-01-08T16:47:33.735Z,ac4e08,28.83242,-81.76285,3900,,
USA,Florida,2025-01-08T16:47:32.305Z,000000,27.94301,-80.57007,900,,
USA,Florida,2025-01-08T16:47:33.845Z,ac3ca5,29.55676,-82.18016,2600,,
USA,Florida,2025-01-08T16:47:33.855Z,a868d4,28.42269,-81.57825,5400,,
USA,Florida,2025-01-08T16:47:33.875Z,ac9c57,29.03135,-82.0997,1900,,
USA,Florida,2025-01-08T16:47:33.985Z,a10f87,28.80261,-81.94439,800,,
USA,Florida,2025-01-08T16:47:33.945Z,a2376e,28.70887,-81.43359,2500,,
USA,Florida,2025-01-08T16:47:33.875Z,a32734,29.81908,-81.247,2500,,
USA,Florida,2025-01-08T16:47:33.955Z,a24d41,28.689,-81.95098,2500,,
USA,Florida,2025-01-08T16:47:32.275Z,000000,27.94223,-80.55809,1400,,
USA,Florida,2025-01-08T16:47:33.405Z,000000,30.73589,-80.55587,23300,,
USA,Florida,2025-01-08T16:47:34.005Z,a58a17,28.84329,-81.95336,0,,
USA,Florida,2025-01-08T16:47:33.375Z,a03f1b,28.68339,-80.82374,8500,,
USA,Florida,2025-01-08T16:47:34.065Z,ad1514,29.07478,-81.02958,5400,,
USA,Florida,2025-01-08T16:47:34.035Z,a07f4d,29.095,-81.3598,1600,,
USA,Florida,2025-01-08T16:47:34.095Z,a5d7b0,28.98136,-82.22538,2000,,
USA,Florida,2025-01-08T16:47:34.471Z,000000,26.67156,-81.35608,1900,,
USA,Florida,2025-01-08T16:47:34.471Z,000000,27.13644,-80.19497,800,,
USA,Florida,2025-01-08T16:47:34.471Z,000000,26.41111,-80.54906,3000,,
USA,Florida,2025-01-08T16:47:34.472Z,000000,26.23194,-79.57906,6500,,
USA,Florida,2025-01-08T16:47:34.472Z,000000,26.41961,-81.77503,4000,,
USA,Florida,2025-01-08T16:47:33.361Z,000000,27.01583,-80.90789,5800,,
USA,Florida,2025-01-08T16:47:33.391Z,000000,30.73614,-80.55756,23300,,
USA,Florida,2025-01-08T16:47:33.621Z,a12f9b,28.79425,-81.26039,800,,
USA,Florida,2025-01-08T16:47:33.401Z,a3f7f8,29.24531,-81.53756,21000,,
USA,Florida,2025-01-08T16:47:33.231Z,acb497,27.1125,-80.69175,8100,,
USA,Florida,2025-01-08T16:47:33.371Z,000000,26.59606,-81.02267,7100,,
USA,Florida,2025-01-08T16:47:34.021Z,a449e5,28.42914,-82.12356,24000,,
USA,Florida,2025-01-08T16:47:34.071Z,ad1514,29.07469,-81.02961,5400,,
USA,Florida,2025-01-08T16:47:34.111Z,ad2ad5,27.94264,-81.76922,400,,
USA,Florida,2025-01-08T16:47:34.191Z,a70a8c,28.60186,-81.81425,3000,,
USA,Florida,2025-01-08T16:47:34.101Z,ab8560,27.98847,-80.30308,12500,,
USA,Florida,2025-01-08T16:47:34.621Z,a64034,29.64689,-81.20297,500,,
USA,Florida,2025-01-08T16:47:31.661Z,000000,26.34717,-81.24217,14800,,
USA,Florida,2025-01-08T16:47:33.541Z,000000,26.50753,-81.47181,18700,,
USA,Florida,2025-01-08T16:47:33.391Z,a9eecc,27.31981,-80.87383,2200,,
USA,Florida,2025-01-08T16:47:33.601Z,000000,27.05014,-81.30967,5500,,
USA,Florida,2025-01-08T16:47:33.631Z,000000,27.01086,-81.40806,15000,,
USA,Florida,2025-01-08T16:47:33.631Z,000000,27.09467,-81.35328,5600,,
USA,Florida,2025-01-08T16:47:32.361Z,000000,26.50156,-78.80439,23000,,
USA,Florida,2025-01-08T16:47:34.201Z,a68d17,28.90264,-80.96092,1700,,
USA,Florida,2025-01-08T16:47:34.141Z,aafb25,27.30392,-80.36772,2300,,
USA,Florida,2025-01-08T16:47:34.201Z,ab3626,27.44689,-80.65103,5600,,
USA,Florida,2025-01-08T16:47:33.861Z,a12133,28.49,-81.49481,2200,,
USA,Florida,2025-01-08T16:47:33.861Z,a868d4,28.42269,-81.57819,5400,,
USA,Florida,2025-01-08T16:47:34.181Z,a06b1a,28.87028,-81.53961,3500,LFA681,PA44
USA,Florida,2025-01-08T16:47:34.201Z,a91057,29.29722,-81.20219,1600,,
USA,Florida,2025-01-08T16:47:34.221Z,ab113e,29.4625,-81.183,300,,
USA,Florida,2025-01-08T16:47:34.291Z,a75617,28.73711,-81.89086,7500,N572CP,SR22
USA,Florida,2025-01-08T16:47:34.261Z,a0a02f,28.18236,-80.60833,2600,N13986,
USA,Florida,2025-01-08T16:47:33.731Z,000000,28.43739,-80.89786,3100,N8376A,PA44
USA,Florida,2025-01-08T16:47:34.535Z,a21417,29.04855,-80.94992,100,,
USA,Florida,2025-01-08T16:47:34.205Z,a91057,29.29725,-81.2022,1600,,
USA,Florida,2025-01-08T16:47:34.205Z,a70dc8,29.69395,-82.14389,5100,,
USA,Florida,2025-01-08T16:47:32.345Z,000000,30.76822,-82.26097,7000,,
USA,Florida,2025-01-08T16:47:34.225Z,ab113e,29.4625,-81.18305,300,,
USA,Florida,2025-01-08T16:47:34.195Z,ab1c63,29.45532,-81.21422,1000,,
USA,Florida,2025-01-08T16:47:34.195Z,a70a8c,28.60191,-81.81426,3000,,
