Primary Partition,Secondary Partition,Timestamp,VIN_or_ID,Latitude,Longitude,Altitude,Custom 1,Custom 2,Timestamp_seconds
USA,Florida,2025-01-08 16:49:17+00:00,a57db5,28.7811,-81.2543,800.0,nan,,1736354957
USA,Florida,2025-01-08 16:49:19+00:00,a57db5,28.7811,-81.2549,800.0,eru453,C172,1736354959
USA,Florida,2025-01-08 16:49:22+00:00,a57db5,28.781,-81.2562,900.0,eru453,C172,1736354962
USA,Florida,2025-01-08 16:49:22+00:00,a57db5,28.781,-81.2562,900.0,nan,,1736354962
USA,Florida,2025-01-08 16:49:23+00:00,a57db5,28.781,-81.2566,900.0,eru453,C172,1736354963
USA,Florida,2025-01-08 16:49:26+00:00,a57db5,28.7811,-81.2578,1000.0,nan,,1736354966
USA,Florida,2025-01-08 16:49:28+00:00,a57db5,28.7811,-81.2586,1000.0,eru453,C172,1736354968
USA,Florida,2025-01-08 16:49:30+00:00,a57db5,28.7813,-81.2595,1000.0,nan,,1736354970
USA,Florida,2025-01-08 16:49:33+00:00,a57db5,28.7816,-81.2603,1000.0,eru453,C172,1736354973
USA,Florida,2025-01-08 16:49:35+00:00,a57db5,28.782,-81.2613,1100.0,nan,,1736354975
USA,Florida,2025-01-08 16:49:37+00:00,a57db5,28.7822,-81.2619,1100.0,eru453,C172,1736354977
USA,Florida,2025-01-08 16:49:40+00:00,a57db5,28.7827,-81.263,1100.0,nan,,1736354980
USA,Florida,2025-01-08 16:49:41+00:00,a57db5,28.7829,-81.2634,1100.0,eru453,C172,1736354981
USA,Florida,2025-01-08 16:49:45+00:00,a57db5,28.7837,-81.2648,1200.0,nan,,1736354985
USA,Florida,2025-01-08 16:49:45+00:00,a57db5,28.7838,-81.2649,1200.0,eru453,C172,1736354985
USA,Florida,2025-01-08 16:49:49+00:00,a57db5,28.7846,-81.2663,1200.0,nan,,1736354989
USA,Florida,2025-01-08 16:49:50+00:00,a57db5,28.7847,-81.2666,1200.0,eru453,C172,1736354990
USA,Florida,2025-01-08 16:49:54+00:00,a57db5,28.7854,-81.268,1300.0,nan,,1736354994
USA,Florida,2025-01-08 16:49:55+00:00,a57db5,28.7856,-81.2682,1200.0,eru453,C172,1736354995
USA,Florida,2025-01-08 16:49:58+00:00,a57db5,28.7863,-81.2694,1300.0,nan,,1736354998
USA,Florida,2025-01-08 16:49:59+00:00,a57db5,28.7865,-81.2698,1300.0,eru453,C172,1736354999
USA,Florida,2025-01-08 16:50:00+00:00,a57db5,28.7866,-81.2701,1300.0,eru453,C172,1736355000
USA,Florida,2025-01-08 16:50:03+00:00,a57db5,28.7873,-81.2711,1400.0,nan,,1736355003
USA,Florida,2025-01-08 16:50:04+00:00,a57db5,28.7875,-81.2714,1400.0,eru453,C172,1736355004
USA,Florida,2025-01-08 16:50:07+00:00,a57db5,28.7881,-81.2725,1400.0,nan,,1736355007
USA,Florida,2025-01-08 16:50:08+00:00,a57db5,28.7883,-81.2728,1400.0,eru453,C172,1736355008
USA,Florida,2025-01-08 16:50:11+00:00,a57db5,28.789,-81.2738,1500.0,nan,,1736355011
USA,Florida,2025-01-08 16:50:12+00:00,a57db5,28.7892,-81.2741,1500.0,eru453,C172,1736355012
USA,Florida,2025-01-08 16:50:15+00:00,a57db5,28.7898,-81.2749,1600.0,eru453,C172,1736355015
USA,Florida,2025-01-08 16:50:15+00:00,a57db5,28.7898,-81.2749,1600.0,nan,,1736355015
USA,Florida,2025-01-08 16:50:16+00:00,a57db5,28.7903,-81.2755,1500.0,eru453,C172,1736355016
USA,Florida,2025-01-08 16:50:19+00:00,a57db5,28.791,-81.2765,1600.0,nan,,1736355019
USA,Florida,2025-01-08 16:50:20+00:00,a57db5,28.7912,-81.2767,1600.0,eru453,C172,1736355020
USA,Florida,2025-01-08 16:50:23+00:00,a57db5,28.7919,-81.2777,1700.0,nan,,1736355023
USA,Florida,2025-01-08 16:50:24+00:00,a57db5,28.7921,-81.278,1700.0,eru453,C172,1736355024
USA,Florida,2025-01-08 16:50:27+00:00,a57db5,28.7927,-81.2791,1700.0,nan,,1736355027
USA,Florida,2025-01-08 16:50:29+00:00,a57db5,28.7929,-81.2795,1700.0,eru453,C172,1736355029
USA,Florida,2025-01-08 16:50:33+00:00,a57db5,28.7936,-81.2809,1800.0,nan,,1736355033
USA,Florida,2025-01-08 16:50:33+00:00,a57db5,28.7937,-81.2813,1800.0,eru453,C172,1736355033
USA,Florida,2025-01-08 16:47:33+00:00,a12f9b,28.7942,-81.2604,800.0,nan,,1736354853
USA,Florida,2025-01-08 16:47:35+00:00,a12f9b,28.7942,-81.2594,800.0,nan,,1736354855
USA,Florida,2025-01-08 16:47:38+00:00,a12f9b,28.7942,-81.2579,800.0,nan,,1736354858
USA,Florida,2025-01-08 16:47:40+00:00,a12f9b,28.7942,-81.2569,900.0,nan,,1736354860
USA,Florida,2025-01-08 16:47:42+00:00,a12f9b,28.7941,-81.256,900.0,nan,,1736354862
USA,Florida,2025-01-08 16:47:44+00:00,a12f9b,28.7941,-81.2549,900.0,nan,,1736354864
USA,Florida,2025-01-08 16:47:45+00:00,a12f9b,28.7941,-81.2545,900.0,nan,,1736354865
USA,Florida,2025-01-08 16:47:49+00:00,a12f9b,28.7942,-81.253,900.0,nan,,1736354869
USA,Florida,2025-01-08 16:47:50+00:00,a12f9b,28.7942,-81.2522,900.0,nan,,1736354870
USA,Florida,2025-01-08 16:47:53+00:00,a12f9b,28.7943,-81.2508,900.0,nan,,1736354873
USA,Florida,2025-01-08 16:47:55+00:00,a12f9b,28.7944,-81.2499,1000.0,nan,,1736354875
USA,Florida,2025-01-08 16:47:58+00:00,a12f9b,28.7944,-81.2487,1000.0,nan,,1736354878
USA,Florida,2025-01-08 16:48:00+00:00,a12f9b,28.7944,-81.2477,900.0,nan,,1736354880
USA,Florida,2025-01-08 16:48:02+00:00,a12f9b,28.7945,-81.2468,900.0,nan,,1736354882
USA,Florida,2025-01-08 16:48:04+00:00,a12f9b,28.7945,-81.2457,900.0,nan,,1736354884
USA,Florida,2025-01-08 16:48:06+00:00,a12f9b,28.7946,-81.2447,900.0,nan,,1736354886
USA,Florida,2025-01-08 16:48:09+00:00,a12f9b,28.7946,-81.2436,900.0,nan,,1736354889
