Primary Partition,Secondary Partition,Timestamp,VIN_or_ID,Latitude,Longitude,Altitude,Custom 1,Custom 2,Timestamp_seconds
USA,Florida,2025-01-08 16:47:35+00:00,a6c691,28.8691,-81.4435,2400.0,n53588,,1736354855
USA,Florida,2025-01-08 16:47:35+00:00,a6c691,28.8691,-81.4435,2400.0,nan,,1736354855
USA,Florida,2025-01-08 16:47:40+00:00,a6c691,28.8693,-81.4413,2400.0,n53588,,1736354860
USA,Florida,2025-01-08 16:47:39+00:00,a6c691,28.8693,-81.4418,2400.0,nan,,1736354859
USA,Florida,2025-01-08 16:47:45+00:00,a6c691,28.8696,-81.439,2300.0,n53588,,1736354865
USA,Florida,2025-01-08 16:47:45+00:00,a6c691,28.8696,-81.439,2300.0,nan,,1736354865
USA,Florida,2025-01-08 16:47:49+00:00,a6c691,28.8698,-81.4371,2300.0,n53588,,1736354869
USA,Florida,2025-01-08 16:47:49+00:00,a6c691,28.8698,-81.4371,2300.0,nan,,1736354869
USA,Florida,2025-01-08 16:47:54+00:00,a6c691,28.8701,-81.4349,2300.0,nan,,1736354874
USA,Florida,2025-01-08 16:47:54+00:00,a6c691,28.8701,-81.4349,2300.0,n53588,,1736354874
USA,Florida,2025-01-08 16:47:58+00:00,a6c691,28.8704,-81.4327,2300.0,n53588,,1736354878
USA,Florida,2025-01-08 16:47:58+00:00,a6c691,28.8704,-81.4327,2300.0,nan,,1736354878
USA,Florida,2025-01-08 16:48:02+00:00,a6c691,28.8707,-81.4308,2200.0,n53588,,1736354882
USA,Florida,2025-01-08 16:48:02+00:00,a6c691,28.8707,-81.4309,2200.0,nan,,1736354882
USA,Florida,2025-01-08 16:48:06+00:00,a6c691,28.8709,-81.429,2200.0,n53588,,1736354886
USA,Florida,2025-01-08 16:48:06+00:00,a6c691,28.871,-81.429,2200.0,nan,,1736354886
USA,Florida,2025-01-08 16:48:10+00:00,a6c691,28.8711,-81.4274,2100.0,n53588,,1736354890
USA,Florida,2025-01-08 16:48:10+00:00,a6c691,28.8712,-81.4272,2100.0,n53588,,1736354890
USA,Florida,2025-01-08 16:48:11+00:00,a6c691,28.8713,-81.4269,2100.0,nan,,1736354891
