Primary Partition,Secondary Partition,Timestamp,VIN_or_ID,Latitude,Longitude,Altitude,Custom 1,Custom 2,Timestamp_seconds
USA,Florida,2025-01-08 16:48:34+00:00,a925a8,28.5178,-80.8032,800.0,nan,,1736354914
USA,Florida,2025-01-08 16:48:38+00:00,a925a8,28.5172,-80.8049,900.0,nan,,1736354918
USA,Florida,2025-01-08 16:48:42+00:00,a925a8,28.5169,-80.8067,900.0,nan,,1736354922
USA,Florida,2025-01-08 16:48:47+00:00,a925a8,28.5167,-80.8085,1000.0,nan,,1736354927
USA,Florida,2025-01-08 16:48:48+00:00,a925a8,28.5168,-80.809,1100.0,nan,,1736354928
USA,Florida,2025-01-08 16:48:50+00:00,a925a8,28.5166,-80.8101,1100.0,nan,,1736354930
USA,Florida,2025-01-08 16:48:55+00:00,a925a8,28.5164,-80.8119,1100.0,nan,,1736354935
USA,Florida,2025-01-08 16:48:56+00:00,a925a8,28.5164,-80.8123,1100.0,nan,,1736354936
USA,Florida,2025-01-08 16:48:59+00:00,a925a8,28.5164,-80.8136,1100.0,nan,,1736354939
USA,Florida,2025-01-08 16:49:01+00:00,a925a8,28.5163,-80.8144,1100.0,nan,,1736354941
USA,Florida,2025-01-08 16:49:03+00:00,a925a8,28.5163,-80.8153,1100.0,nan,,1736354943
USA,Florida,2025-01-08 16:49:05+00:00,a925a8,28.5163,-80.8161,1100.0,nan,,1736354945
USA,Florida,2025-01-08 16:49:07+00:00,a925a8,28.5162,-80.8167,1100.0,nan,,1736354947
USA,Florida,2025-01-08 16:49:10+00:00,a925a8,28.5163,-80.8181,1100.0,nan,,1736354950
USA,Florida,2025-01-08 16:49:12+00:00,a925a8,28.5162,-80.819,1000.0,nan,,1736354952
USA,Florida,2025-01-08 16:49:15+00:00,a925a8,28.5162,-80.82,1000.0,nan,,1736354955
USA,Florida,2025-01-08 16:49:16+00:00,a925a8,28.5161,-80.8208,1100.0,nan,,1736354956
USA,Florida,2025-01-08 16:49:19+00:00,a925a8,28.5152,-80.822,1100.0,nan,,1736354959
USA,Florida,2025-01-08 16:49:22+00:00,a925a8,28.5143,-80.8228,1000.0,nan,,1736354962
USA,Florida,2025-01-08 16:49:24+00:00,a925a8,28.5136,-80.8234,1100.0,nan,,1736354964
